1;[0,0];2;3;tomato
2;[2,0];2;3;palegreen
3;[4,0];2;3;gold
4;[6,0];2;3;salmon
5;[8,0];2;3;skyblue
6;[10,0];2;3;lightblue
7;[0,3];2;3;tomato
8;[2,3];2;3;violet
9;[4,3];2;3;turquoise
10;[6,3];2;3;salmon
11;[8,3];2;3;orange
12;[10,3];2;3;skyblue
13;[0,6];2;3;sandybrown
14;[2,6];2;3;yellowgreen
15;[4,6];2;3;lightblue
16;[6,6];2;3;palegreen
17;[8,6];2;3;violet
18;[10,6];2;3;sandybrown
19;[0,9];2;3;yellowgreen
20;[2,9];2;3;lightpink
21;[4,9];2;3;gold
22;[6,9];2;3;turquoise
23;[8,9];2;3;orange
24;[10,9];2;3;lightpink
